New	Nouveau
Graphic and Audio Files|*.gif;*.jpg;*.bmp;*.ico;*.xbm;*.wav;*.au;*.snd;*.mid;*.mp3|Graphic Files|*.gif;*.jpg;*.bmp;*.ico;*.xbm|Audio Files|*.wav;*.au;*.snd;*.mid;*.mp3|All Files (*.*)|*.*||	Fichiers graphiques et audio|*.gif;*.jpg;*.bmp;*.ico;*.xbm;*.wav;*.au;*.snd;*.mid;*.mp3|Fichiers graphiques|*.gif;*.jpg;*.bmp;*.ico;*.xbm|Fichiers audio|*.wav;*.au;*.snd;*.mid;*.mp3|Tous les fichiers (*.*)|*.*||
Open Image or Sound File to Insert	Ouvrir un fichier graphique ou audio à insérer
(*%s) |*%s|All Files (*.*) |*.*||	(*%s) |*%s|Tous les fichiers (*.*) |*.*||
Save File	Enregistrer le fichier
AOL Rich Text Format(*.htm)|*.htm|Text Only(*.*)|*.*|	Texte mis en forme (*.htm)|*.htm|Texte seulement (*.*)|*.*|
Save Text to File	Enregistrer le texte dans le fichier
AOL Rich Text Format|*.htm|All Files|*.*|	Texte mis en forme |*.htm|Tous |*.*|
Open File in Separate Window	Ouvrir le fichier dans une autre fenêtre
Hyperlink URL:  \n%s	URL de l'hyperlien : %s
Stop Play	Figer
Play	Animer
Are you sure you want to clear all the content from this window?	Voulez-vous vraiment effacer tout le contenu de cette fenêtre ?
Clear Window?	Effacer la fenêtre ?
Do you wish to save the modifications?	Voulez-vous enregistrer les modifications ?
Modified File	Fichier modifié
This edit cannot be undone!	Impossible d'annuler cette modification !
Ran out of memory	Mémoire insuffisante
Fatal Error	Erreur fatale
The value is out of the allowed range. Please re-enter	La valeur indiquée n'est pas incluse dans la plage autorisée. Entrez une nouvelle valeur.
Maximum Number of Lines Exceeded!	Le nombre maximal de lignes autorisé a été dépassé !
Invalid Page Width, Margins, or Column Specifications!	Spécifications de colonnes, marges ou largeur de page incorrectes !
Line Too Long	Ligne trop longue
You are low on system resources. Please\r\nclose some programs in order to continue.	Ressources système insuffisantes. Fermez quelques programmes pour pouvoir continuer.
Unable to create a font: %s, Point Size: %d	Création de police impossible : %s, Taille : %d
Unable to select a font	Impossible de sélectionner une police.
Tried to delete protected text	Vous avez essayé de supprimer du texte protégé.
Tried to copy protected text	Vous avez essayé de copier du texte protégé.
Clipboard in use by another application	Le Presse-papiers est en cours d'utilisation par une autre application.
Clipboard does not contain suitable data	Le Presse-papiers ne contient pas les données appropriées.
Ran out of memory for Clipboard data	Mémoire insuffisante pour les données du Presse-papiers.
Cannot open the file	Impossible d'ouvrir le fichier
Error in reading the file	Une erreur s'est produite lors de la lecture du fichier
Error creating picture: you are low on system resources.\r\nPlease close some programs in order to continue.	Erreur liée à la création d'une image : vos ressources système sont insuffisantes. Fermez quelques programmes pour pouvoir continuer.
Can not initialize printing	Lancement d'impression impossible.
Text not found	Texte introuvable
Must Enter a Valid Number	Vous devez indiquer un chiffre correct.
Software error in positioning cursor.	Une erreur logicielle s'est produite lors du positionnement du curseur.
Ran out of resources in allocating a Display Context; please free up memory and re-run program	Mémoire insuffisante pour l'attribution d'un contexte d'affichage ; libérez de la mémoire et relancez le programme.
Ran out of Font resources for this window; new fonts may not look as intended	Ressources insuffisantes pour les polices ; l'affichage des nouvelles polices ne répondra peut-être pas à vos attentes.
Ran out of memory; please free up memory and re-run program	Mémoire insuffisante ; libérez de la mémoire et relancez le programme.
Unable to get text metric for a font; please free up memory and re-run program	Unable to get text metric for a font; please free up memory and re-run program
Unable to load the accelerator tables; please free up memory and re-run program	Impossible de charger les tables d'accélérateur ; libérez de la mémoire et relancez le programme.
Unable to create the pens; please free up memory and re-run program	Unable to create the pens; please free up memory and re-run program
Could not lock input buffer	Impossible de verrouiller la mémoire tampon en entrée.
Invalid section data encountered	Des données incorrectes relatives à la section ont été détectées.
The Paste content is too big by %ld characters.\r\nThe limit is %ld characters (including markup).	Le texte que vous voulez coller contient %ld caractères de trop. La limite est fixée à  %ld caractères, ponctuation comprise.
You must enter the Hyperlink URL	Vous devez indiquer l'URL de l'hyperlien.
You must enter both the Hyperlink URL and the Hyperlink Text	Vous devez indiquer l'URL et le texte de l'hyperlien.
A message has been received with characters\r\nthat cannot be displayed with this system's fonts,\r\nand instead are displayed with an empty rectangle.	Vous avez reçu un message contenant des caractères non affichables avec les polices de ce système. Ils ont été remplacés par des rectangles vides.
The text has characters that cannot be\r\ndisplayed with this system's fonts, and instead\r\nare displayed with substitute characters.	Le texte contient des caractères non affichables avec les polices de ce système. Ils ont donc été remplacés par d'autres caractères.
Your password has been successfully changed.	Votre mot de passe a été modifié.
Your new passwords do not match.	Les deux champs du nouveau mot de passe ne contiennent pas les mêmes données.
The password you entered does not have a valid length.	La longueur du mot de passe indiqué est incorrecte.
Enter your old password and try again.	Tapez votre ancien mot de passe et réessayez.
The password you entered is invalid.	Mot de passe incorrect.
Unknown error.  Try again later.	Erreur inconnue. Recommencez ultérieurement.
Your request cannot be processed.	Impossible de traiter votre requête.
Your new password is invalid.	Votre nouveau mot de passe est incorrect.
Your screen name has been successfully changed.	Votre pseudonyme a été modifié.
Changing password...	Changement du mot de passe...
Changing screen name...	Changement du pseudonyme...
The screen name you entered is not valid.	Le pseudonyme que vous avez indiqué est incorrect.
The screen name you entered does not have a valid length.	La taille du pseudonyme que vous avez indiqué est incorrecte.
You have recently been confirmed as a registered user.	Votre enregistrement a été confirmé.
A request to confirm your account has been submitted.  Shortly a confirmation e-mail message will be sent to you.  In order to complete account confirmation, you must reply as instructed by the e-mail message.	Une demande de confirmation de compte a été émise. Vous recevrez sous peu un message électronique auquel vous devrez répondre en suivant les instructions afin de valider votre compte.
You have no e-mail address on file.	Vous n'avez aucune adresse électronique enregistrée.
Submitting request for account confirmation...	Demande de confirmation de compte...
A request to confirm your account has been submitted.  Shortly, a confirmation e-mail message will be sent to you.  In order to complete account confirmation, you must reply as instructed by the e-mail message.	Une demande de confirmation de compte a été émise. Vous recevrez sous peu un message électronique auquel vous devrez répondre en suivant les instructions afin de valider votre compte.
You must specify an e-mail address.	Indiquez une adresse électronique.
Your e-mail address contains an invalid domain name.	Le nom de domaine de votre adresse électronique est incorrect.
Your request to update your e-mail address cannot be processed.	La demande de mise à jour de votre adresse électronique ne peut pas être traitée.
That information cannot be changed at the moment since there is a pending change.	Ces informations ne peuvent être modifiées pour le moment.
Submitting e-mail change request.	Envoi d'une demande de changement d'adresse électronique.
A request to change your e-mail has been submitted.  The change will occur 72 hours after you correctly reply to the confirmation e-mail that you will receive shortly at your new e-mail address.	Une demande de changement d'adresse électronique a été soumise. La modification sera effective lorsque vous aurez répondu sous 72 heures au message de confirmation que vous allez recevoir à votre nouvelle adresse.
The e-mail address you entered is not valid.	L'adresse électronique que vous avez indiquée est incorrecte.
The e-mail address you entered does not have a valid length.	La longueur de l'adresse électronique indiquée est incorrecte.
requesting...	Requête en cours...
(no e-mail address)	(aucune adresse électronique)
Saved Settings (*.blt,*.acf)|*.blt;*.acf|All Files (*.*)|*.*|	Paramètres enregistrés (*.blt,*.acf)|*.blt;*.acf|Tous (*.*)|*.*|
Load Buddy List	Charger un répertoire de contacts
Results	Résultats
The requested settings have been saved.	Les paramètres requis ont été enregistrés.
The requested settings have been loaded.	Les paramètres requis ont été chargés.
You disabled the merge option.\n\nAre you sure you want to replace your existing settings with the settings from this file?	Vous avez désactivé l'option de fusion. Etes-vous sûr de vouloir remplacer les paramètres existants par ceux de ce fichier ?
%s	%s
Merge with my existing	Fusionner avec l'existant
AOL Instant Messenger.ConfigFile	AOL Instant Messenger.ConfigFile
AIMConfigFile	AIMConfigFile
Directory Info	Informations sur l'annuaire
AIM	AIM
Cannot start browser	Impossible de démarrer le navigateur.
Cannot start Mail application	Cannot start Mail application
Cannot start AOL	Impossible de démarrer AOL
%s; low on memory	%s; mémoire faible
%s; program not found	%s; programme introuvable
%s; system error %d.	%s; erreur système %d.
%s; no browser defined	%s; aucun navigateur n'a été défini.
Executable Files (*.exe)	Fichiers exécutables (*.exe)
Choose Web Browser	Sélectionnez un navigateur web
Choose Mail Application	Choose Mail Application
%s; non-executable file	%s; fichier non exécutable.
%s; missing or corrupt DLL	%s; DLL manquante ou corrompue
%s; 32-bit system required	%s; système 32 bits requis
Browser has no DDE service	Le navigateur ne dispose pas d'un service DDE.
You must set the alternate Web browser path	Définissez le chemin d'accès de l'autre navigateur Web.
You must set the alternate e-mail program path	Définissez un autre logiciel de courrier électronique.
Choose AOL Program	Choisissez le logiciel AOL
This URL contains characters that could pose a security risk.\r\nIf you are sure the URL is safe, you must launch the browser to open the URL.	Cette URL contient des caractères pouvant entraîner des problèmes de sécurité. Si vous êtes sûr que ce n'est pas le cas, démarrez le navigateur afin d'y accéder.
This is not a supported URL.	URL non reconnue.
Find Another User	Rechercher un utilisateur
Send an Instant Message	Envoyer un message
Find Text	Rechercher le texte
Warn Another User	Blâmer un utilisateur
To:	A :
%s's Warning Level: %d%%	Pénalités de %s  : %d%%
Block	Exclure
Instant Message	Message
Added in Instant Message window	Ajouté dans la fenêtre Message
IM between %s and %s on %s	Message entre %s et  %s sur %s
%s - %s	%s - %s
Instant Message received on %s from %s	Message reçu sur %s de %s
recent IM ScreenNames	Pseudonymes AIM récents
*** I am gone now. Please leave a message and I will see it when I get back. ***	*** En mon absence, laissez-moi un message afin que je puisse en prendre connaissance dès mon retour. ***
Text Composition and Viewing Settings	Options de message
Auto response from %s	Réponse automatique de %s.
Previous message was not received by %s because of error	%s n'a pas reçu le message précédent en raison d'une erreur
%s is inviting you to rendezvous with an unsupported service	%s vous donne rendez-vous sur un service non pris en charge.
Please enter the screen name of the person you would like to send the message to.	Entrez le pseudonyme de la personne à laquelle vous souhaitez adresser un message.
%s's warning level has been increased to %d%%.	Le niveau de pénalités de %s a atteint %d%%
Warning of '%s' not allowed.	'%s' ne peut pas recevoir de blâmes.
Warning of '%s' failed.\r\nError: %s	L'envoi d'un blâme à '%s' a échoué. Erreur : %s
Add '%s' to your Block List?\r\n\r\nYou cannot communicate with users while they are on your Block List.	Voulez-vous ajouter '%s' à la liste d'utilisateurs exclus ? Il est impossible de communiquer avec les personnes répertoriées dans cette liste.
%d messages from %s\r\n\tReason: %s	%d messages de %s Raison : %s
the sender's msg was too large	message envoyé trop long
sender exceeded the receiver's rate limit	l'auteur a dépassé la limite autorisée pour le destinataire.
Message rejected because sender's\r\nWarning level is too high.	Message rejeté en raison des pénalités cumulées par  l'auteur.
Message rejected because receiver's\r\nWarning level is too high.	Message rejeté en raison du niveau des pénalités excessives cumulées par le destinataire.
unknown	inconnu
Click the Warn button below to send a warning to %s.  This will raise %s's warning level and limit his or her activity when using AOL Instant Messenger.  Do this only if %s has done something to merit a warning.	Cliquez sur le bouton Blâmer afin de sanctionner  %s.  Cela augmentera son niveau de pénalités et le limitera dans son utilisation d'AIM.
IM Error	Erreur liée a la fonction Message
Information	Informations
Unexpected number of bytes received.	Nombre d'octets reçus anormal.
Internal buffer size error.	Erreur interne liée à la taille de la mémoire tampon.
Unable to send Warning request.	Le blâme ne peut être émis.
You must be logged in in order to send a message.	Pour envoyer un message, vous devez être connecté.
Error code %d received from server: %s	Code d'erreur %d renvoyé par le serveur : %s
Unknown error code received from server.	Code d'erreur inconnu renvoyé par le serveur.
User <B>%s</B> is not available.	<B>%s</B> n'est pas disponible actuellement.
An error was reported in response to the message sent to <B>%s</B>.\r\nError code: %d	Le message envoyé à <B>%s</B> a généré une erreur. Code d'erreur : %d.
The last message was not sent because you are over the rate limit.\r\nPlease wait until sending is re-enabled and send the message again.	Le dernier message n'a pas été envoyé car vous avez atteint la limite autorisée. Attendez que la fonction d'envoi soit réactivée, puis envoyez de nouveau le message.
You are over the rate limit.\r\nPlease wait until warning is re-enabled.	Vous avez atteint la limite autorisée. Vous devez attendre que la fonction Blâmer soit réactivée.
The message is too long.\r\nThe limit is %ld characters. You have entered\r\n%d characters (including any needed markup).	Ce message est trop long.Le nombre de caractères autorisés est de %ld. Votre message en comporte %d, ponctuation comprise.
AOL Instant Messenger(SM) cannot send this message because you have blocked the recipient. You can change this setting on the Privacy tab of the Preferences dialog.	AIM ne peut envoyer ce message car vous avez exclu le destinataire. Pour y remédier, sélectionnez l'onglet Confidentialité de la boîte de dialogue Options et supprimez le nom du destinataire de la liste Utilisateurs exclus.
The screen name '%s' is not valid.	Le pseudonyme '%s' est incorrect.
Your buddy is using an AOL client (most likely Mac AOL v2.5) that cannot receive messages from AOL Instant Messenger. Your buddy can upgrade to a newer client to receive messages from AIM.	Votre contact ne peut pas recevoir de messages d'AIM, AOL Messager en raison de la version du logiciel AOL dont il dispose (probablement AOL 2.5 Macintosh). Conseillez-lui de procéder à une mise à jour afin de pouvoir dialoguer avec lui.
Enter the screen name of the user you\r\nwish to get info about:	Entrez le pseudonyme pour lequel vous souhaitez obtenir des informations :
Buddy Info: %s	Informations sur le contact : %s
Please wait...	Veuillez patienter...
No Information Provided	Aucune information n'a été fournie.
Note: AOL member profiles are not accessible through AOL Instant Messenger.	.
EVil rating: %d	Pénalités de : %d
EVil rating: -	Pénalités de: -
Personal Profile:	Profil personnel :
recent ScreenNames	Pseudonymes récents
Personal Profile	Profil personnel
Please enter a valid screen name.	Veuillez entrer un pseudonyme correct.
Buddy Info for <B>%s</B> is not available.	Le profil personnel de <B>%s</B> n'est pas disponible.
Unknown error.	Erreur inconnue.
You do not have rights to\r\nperform this task.	Vous ne disposez pas des droits suffisants pour effectuer cette opération.
Unable to get profile info.  Error code %d	Impossible d'obtenir les informations relatives au profil. Code d'erreur %d
Can't display Profile data.\r\nUnsupported MIME type: %s	Impossible d'afficher les données du profil. Le type de données MIME n'est pas pris en charge : %s
Service unavailable.	Service indisponible.
The Personal Profile you have entered is too long.\r\nThe limit is %d characters. You have entered\r\n%d characters (including any needed markup).	Le profil personnel que vous avez indiqué est trop long. Il ne doit pas contenir plus de %d caractères, or vous en avez tapé %d (ponctuation comprise).
Are you sure you want to remove the message?	Voulez-vous vraiment supprimer ce message ?
* The profile could not be loaded because it is too long.  The limit is %d characters including markup.	* Le profil n'a pas pu être chargé car il est trop long. La longueur maximale autorisée est de %d caractères, ponctuation comprise.
* The profile may contain characters that are not displayable on this system.	* Le profil contient peut-être des caractères non reconnus par ce système.
The screen name or password you entered is not valid.	Pseudonyme ou mot de passe incorrect.
The AOL Instant Messenger (SM) service is temporarily unavailable.	The AIM, AOL Messager service is temporarily unavailable.
The password you entered is not valid.	Le mot de passe que vous avez indiqué est incorrect.
Internal client error: bad input to authorizer	Erreur interne du logiciel : données incorrectes envoyées au serveur d'authentification.
Your account is no longer active.	Votre compte est désactivé.
The AOL Instant Messenger (SM) service is temporarily unavailable.	AIM, AOL Messager est momentanément indisponible.
Bad reservation status	Etat de réservation incorrect.
Connection lost.  Check your Internet connection.	Connexion interrompue. Vérifiez l'état de votre connexion Internet.
The AIM service can't be reached.	Impossible d'accéder à AIM.
Invalid host address	Adresse de serveur incorrecte.
A service did not start properly	Démarrage incorrect d'un service.
Unknown server error	Erreur inconnue liée au serveur.
A password is required	Mot de passe requis.
Server error during authorization	Une erreur liée au serveur s'est produite lors de la procédure d'authentification.
You must be online to perform that operation	Pour pouvoir effectuer cette opération, vous devez être connecté.
Internal client error: send to bad group	Erreur interne liée au client : envoi à un groupe erroné.
Internal server error: send to bad group	Erreur interne liée au serveur : envoi à un groupe erroné.
Bad sequence number received	Numéro de séquence reçu incorrect.
Proxy lookup failed	La recherche du proxy a échoué.
Proxy connect failed	La connexion du proxy a échoué.
Proxy negotiate failed	La négociation du proxy a échoué.
Proxy authenticate failed	L'authentification du proxy a échoué.
Proxy request failed	La requête du proxy a échoué.
Signon timeout	Expiration du délai de connexion
The session has terminated because you signed on with this screen name at another location.	La session a été interrompue parce que vous étiez déjà connecté avec ce pseudonyme depuis un autre emplacement.
Server error: missing or insufficient reconnect info	Erreur liée au serveur : informations manquantes ou insuffisantes pour se reconnecter.
Cannot sign on twice from the same IP address	Impossible de se connecter deux fois avec la même adresse IP.
You are already signed on at another location	Vous êtes déjà connecté depuis un autre emplacement.
Signon failed due to rate limiting	La connexion a échoué car la limite autorisée a été atteinte.
Authorizer temporarily offline	Serveur d'authentification temporairement hors connexion.
Suspended account	Compte suspendu
Internal server error: DB send error	Erreur interne liée au serveur : la base de données a retourné une erreur
Internal server error: DB link error	Erreur interne liée au serveur : erreur de lien de base de données.
Internal server error: reservation map error	Erreur interne liée au serveur : erreur de mappe de réservation.
Internal server error: reservation link error	Erreur interne liée au serveur : erreur de lien de réservation.
Already connected from this IP address	Cette adresse IP est déjà utilisée pour une autre connexion.
Already connecting from this IP address	Une connexion est déjà en cours avec cette adresse IP.
You are attempting to sign on again too soon.  Please try again later.	Votre nouvelle tentative de connexion est trop rapide. /nRéessayez ultérieurement.
You have too many warnings to sign on	Vous ne pouvez pas vous connecter en raison du nombre de blâmes que vous avez reçus.
Your account has been deleted	Votre compte a été annulé.
Internal server error: reservation timeout	Erreur interne liée au serveur : expiration du délai de réservation.
You've been warned by %s.  Your warning level has increased from %d%% to %d%%.	%s vous a envoyé un blâme.  Votre niveau de pénalités est passé de %d%% à %d%%.
You've been warned by another user.  Your warning level has increased from %d%% to %d%%.	Vous avez reçu un blâme d'un autre utilisateur.  Votre niveau de pénalités est passé de %d%% à %d%%.
Warning Received	Blâme reçu
You performed an action too many times in a short period.	Une opération a été effectuée trop souvent sur une courte période.
Rate limiting occured during sign on.  Try again later.	La limite autorisée a été atteinte pendant la connexion. Réessayez ultérieurement.
Client internal error: build number out of range.	Erreur interne liée au logiciel : le numéro de build est hors limites.
Connection refused by proxy	La connexion a été refusée par le proxy.
Test Release	Version de test
winsock.dll	winsock.dll
wsock32.dll	wsock32.dll
AIM is unable to find %s in your path.  Add the directory containing %s to your path or connect to your Internet Service Provider before starting AIM.	Le chemin d'accès indiqué ne permet pas à AIM de trouver %s. Complétez le chemin d'accès en indiquant le répertoire dans lequel figure %s ou connectez-vous à votre fournisseur d'accès avant de lancer AIM.
Click Ok to continue or Cancel to exit AIM.	Cliquez sur OK ou sur Annuler selon que vous souhaitiez continuer ou quitter AIM.
Unable to connect to Internet.\nPlease connect to the Internet manually and then click OK.	Connexion à Internet impossible. Essayez d'établir la connexion manuellement, puis cliquez sur OK.
www.aol.com/aim	www.aol.com/aim
The e-mail address you entered is not a valid e-mail address.\nPlease check the address and try again.	L'adresse électronique que vous avez indiquée est incorrecte. Rectifiez-la et réessayez.
AIM Offline	AIM hors connexion
Users:	Utilisateurs :
%d people here	%d personnes présentes
1 person here	1 personne présente
en	fr
Whisper	Aparté
0	0
Your message was refused by the AOL Instant Messenger server, probably because the message was too big. Try making the message shorter and send it again.	Votre message a été rejeté par le serveur AIM, AOL Messager, parce qu'il est probablement trop volumineux. Raccourcissez le message et essayer de l'envoyer de nouveau.
Your buddy is using an AOL client which cannot receive your invitation.	Le logiciel AOL dont dispose votre contact ne lui permet pas de recevoir votre invitation.
Direct Instant Message	Message direct
%s direct connection is closed	La connexion directe à %s est fermée.
You already have an Away message with this label.\r\nPlease use a unique label.	Un message d'absence est déjà défini sous ce titre.\\r\\nChoisissez un autre titre.
SendIM	SendIM
AddToBuddyList	AddToBuddyList
RegisterNewUserAndSignOn	RegisterNewUserAndSignOn
RegisterNewUser	RegisterNewUser
VisitChatRoom	VisitChatRoom
Insert Picture	Insérer une image
* IM IMAGES *	* IMAGES *
You already have an Instant Message window open with this buddy; you must use that window.	Pour dialoguer avec ce contact, utilisez la fenêtre de message qui est déjà ouverte.
[Unknown]	[Inconnu]
%d Point<BR>at %d%%	%d Points<BR>à %d%%
%d Point<BR>%s	%d Points<BR>%s
You are invited to:	Vous êtes invité dans :
Go Chat	Discuter
Unable to join the chat room\r\n"%s"\r\n\r\nNo response from the Service.	Impossible d'accéder au salon de discussion "%s". AIM n'a renvoyé aucune réponse.
In order to join Chat room '%s' you will\r\nbe removed from room '%s'.	Afin que vous puissiez accéder au salon '%s', le salon '%s' va être fermé.
The host is obsolete and cannot support this client.  Either connect to a newer host or use an older client.	Ce serveur est obsolète et ne prend pas en charge ce logiciel. Connectez-vous à un serveur plus récent ou utilisez un logiciel plus ancien.
Screen Name	Pseudonyme
The room name "%s" is too short.  Please enter a longer name.	Le nom de salon "%s" est trop court. Veuillez indiquer un nom plus long.
First Name	Prénom
Invite Group to Chat Room...	Inviter un groupe dans un salon...
Last Name	Nom
Buddy Chat Invitation	Invitation à une discussion
"%s" is an invalid screen name.	Le pseudonyme "%s" est incorrect.
%s - Invitation	%s - Invitation
City	Ville
State	Etat
Country	Pays
%s is not a valid Screen Name.	%s n'est pas un pseudonyme correct.
Buddy Chat room:	Salon de discussion :
Your directory entry is identical to other existing directory entries. Please enter additional information to make your directory entry unique.	Il existe une carte identique dans votre annuaire. Indiquez d'autres informations afin que votre carte de visite soit unique.
We could not process your request for a search.  The most likely cause is the server is not available at this time.  Please try again later.	Votre demande de recherche n'a pu être traitée. Le serveur est probablement indisponible. Réessayez ultérieurement.
We could not file your directory entry.  The most likely cause is the server is not available at this time.  Please try again later.	Votre carte de visite n'a pu être classée. Le serveur est probablement indisponible. Réessayez ultérieurement.
Buddy Chat Invitation	Invitation à un salon
%s's warning level: %d%%	Niveau de pénalités de %s : %d%%
Join me in this Buddy Chat.	Souhaitez-vous participer à cette discussion ?
%s Chat	%s
By sending this invitation you are exposing yourself to Warnings.	En envoyant cette invitation, vous vous exposez à recevoir des blâmes.
Right-click on a name for options	Pour obtenir la liste des options, cliquez sur l'un des noms à l'aide du bouton droit de la souris.
Increased %s's warning level by %d%%.\r\nIt is now at %d%%.	Le niveau de pénalités de %s a augmenté de %d%%. Il est maintenant de %d%%.
You have just entered room "%s."	Vous venez d'entrer dans le salon "%s."
Invite a buddy	Inviter un contact
Do Not Ignore	Ne pas ignorer
In order to join another chat room you must leave the one you are in.\r\nClick OK to close %s.	Pour pouvoir accéder à un autre salon, vous devez quitter celui dans lequel vous vous trouvez. Cliquez sur OK pour fermer %s.
Please enter the names of the people you would like to\r\ninvite to your Chat Room.	Tapez le pseudonyme des personnes que vous voulez inviter dans votre salon.
us	fr
Sorry, Chat is not available at this time.	La fonction de discussion n'est pas disponible actuellement.
Chat Room: %s	Salon de discussion : %s
Please enter a room name.	Indiquez un nom de salon.
MS Sans Serif	MS Sans Serif
Chat	Discuter
The room name "%s" contains invalid characters.\r\nPlease enter a new name.\r\n\r\nThe name must contain only alpha-numeric characters\r\nand spaces, and it must not start with a number.	Le nom de salon "%s" contient des caractères non autorisés. Indiquez un autre nom. Celui-ci doit contenir uniquement des caractères alphanumériques et des espaces ; il doit impérativement commencer par une lettre.
Wildcard searches ( * * ) are not allowed.	Les recherches ne peuvent porter sur des caractères spéciaux ( * * ).
There have been too many recent signons from your site.  Please try again later.	Le nombre de connexions récentes à partir de votre site est trop important. Réessayez ultérieurement.
The room name is too long.  It must be %d characters or less.	Le nom du salon est trop long. Il doit contenir %d caractères au maximum.
Invalid room name.  The name you submitted may be too\r\nlong or contain invalid characters.	Nom de salon incorrect. Le nom que vous avez fourni est trop long ou contient des caractères non autorisés.
Room "%s" does not exist.	Le salon "%s" n'existe pas.
Sorry, the chat message you sent was too long.\r\nIt was not received by the other users of the chat room.	Le message que vous avez envoyé est trop long. Les utilisateurs du salon n'ont pas pu le recevoir.
Error: %s	Erreur : %s
[Buddy Chat invite placeholder URL]	[URL pour l'invitation à une discussion]
Invited:	Invité :
<B>%s</B>'s software could not interpret your Chat invitation.	Le logiciel de <B>%s</B> n'a pas pu interpréter votre invitation.
<B>%s</B>'s software does not support Chat.  As a result, this buddy can not accept your Chat room invitation.	Le logiciel de <B>%s</B> ne prend pas en charge la fonction de discussion. Cet interlocuteur n'est donc pas en mesure d'accepter votre invitation.
<B>%s</B> is away right now and will not be able to accept your invitation until he or she returns.	<B>%s</B> est absent pour le moment. Il ne pourra répondre à votre invitation avant son retour.
<B>%s</B> declined your Chat invitation.	<B>%s</B> a décliné votre invitation.
Chat Room Invitation Response	Réponse à l'invitation dans un salon
Chat service is not available.	La fonction de discussion n'est pas disponible.
<B>%s</B> is not available.	<B>%s</B> n'est pas disponible.
Paste Plaintext	Coller le texte
Directory Info: %s	Carte de visite de : %s
<B>First Name:</B>  %s\r\n<B>Middle Name:</B>  %s\r\n<B>Last Name:</B>  %s\r\n<B>Maiden Name:</B>  %s\r\n<B>Nickname:</B>  %s\r\n<B>Street Address:</B>  %s\r\n<B>City:</B>  %s\r\n<B>State:</B>  %s\r\n<B>Country:</B>  %s\r\n<B>Zip:</B>  %s	<B>Prénom :</B>  %s\\r\\n<B>Deuxième prénom :</B> %s\\r\\n<B>Nom :</B>  %s\\r\\n<B>Nom de jeune fille :</B>  %s\\r\\n<B>Surnom :</B>  %s\\r\\n<B>Adresse :</B>  %s\\r\\n<B>Ville :</B>  %s\\r\\n<B>Etat :</B>  %s\\r\\n<B>Pays :</B>  %s\\r\\n<B>Code postal :</B>  %s
<B>No Directory Entry Filed</B>	<B>Aucune carte de visite n'a été remplie</B>
Unable to join the Chat Room.  Unknown Exchange.	Impossible d'accéder au salon de discussion.
The message you have created is too long.  \r\nIt uses %d characters, the maximum allowed is %d.	Le message que vous avez créé est trop long. Il contient %d caractères au lieu des %d autorisés.
This version of AIM has received an instruction from the service \r\nthat it can not follow.  Please <A HREF="http://www.aol.com">upgrade</A> to the latest version.	Cette version d'AIM a reçu une instruction du service qu'elle ne peut effectuer. <A> HREF="http://www.aol.fr">Installez</A> la dernière version du logiciel.
Buddy Chat Error	Erreur liée à la fonction de discussion
The connection to the Chat Room "%s"\r\nhas been lost.	La connexion au salon "%s" a été interrompue.
Screen Names must either be separated by commas or entered on separate\r\nlines.  If the buddies that you invite have old versions of AIM, they may not\r\nknow that you are inviting them.	Les pseudonymes doivent être séparés par des virgules ou saisis sur des lignes distinctes. Si les personnes que vous invitez disposent d'une version antérieure d'AIM, elles ne seront pas informées de votre invitation.
Received:	Reçu le :
You have too many Chat Rooms open to join another one.\r\nPlease close one of the current \r\nChat Room windows and try again.	Vous avez ouvert trop de salons. Fermez-en un et recommencez.
You have too many Chat Rooms open to join another one.\r\nPlease close one of the current Chat Room windows and try again.	Vous avez ouvert trop de salons. Fermez-en un et réessayez.
%s (%d%%)	%s (%d%%)
Chat Room creation was refused.  Please try again later.	La création du salon a été refusée. Réessayez ultérieurement.
Sorry, AIM could not join room "%s"\r\nbecause it is full.  Please try again later.	AIM n'a pas pu accéder au salon "%s" car celui-ci est complet. Réessayez ultérieurement.
Sorry, AIM could not join room "%s".\r\nPlease try again later.	AIM n'a pas pu accéder au salon "%s". Réessayez ultérieurement.
Buddy Chat between %s and %s on %s	Discussion entre %s et %s sur %s
Away, Idle:	Absent, inactif :
Away	Absent
Away message / Personal Profile:	Message d'absence / Profil personnel :
- Init	- Init
- Waiting	- En attente
- Creating Room	- Création du salon en cours
- Room Creation Failed	- La création du salon a échoué
- Joining Room	- Accès au salon en cours
- Rejoining Room	- Nouvel accès au salon en cours
- Paused	- Suspendu
- Exited Room	- Vous avez quitté le salon
- Error	- Erreur
abcdefghIJKLMNOP	abcdefghIJKLMNOP
You have selected text that is part of an existing\nhyperlink.  If you want to edit that hyperlink, either\nselect the whole hyperlink or position the cursor\ninside the hyperlink with no selection.	Le texte que vous avez sélectionné fait partie d'un hyperlien existant. Si vous voulez modifier ce lien, sélectionnez-le en entier ou positionnez le curseur dessus, sans effectuer aucune sélection.
Cannot send invitation to yourself	Impossible de s'envoyer une invitation
There is nobody to invite	Aucun utilisateur susceptible de recevoir une invitation n'est disponible.
The following people are already in the Chat room.  Invitations have not been sent to them.	Les personnes suivantes sont déjà dans le salon, alors qu'aucune invitation ne leur a été envoyée.
<B>%s</B> has entered the room.	<B>%s</B> est entré dans le salon.
