New	Neu
Received:	Empfangen:
You have too many Chat Rooms open to join another one.\r\nPlease close one of the current \r\nChat Room windows and try again.	Sie haben zu viele Chat-Räume geöffnet, um einen weiteren zu öffnen.\r\nBitte schließen Sie erst einen, um einen weiteren zu öffnen.
You have too many Chat Rooms open to join another one.\r\nPlease close one of the current Chat Room windows and try again.	Sie haben bereits zuviele Chat-Räume geöffnet, um noch einen weiteren zu öffnen.\r\nBitte schließen Sie einen Chat-Raum, bevor Sie einen neuen öffnen.
%s (%d%%)	%s (%d%%)
Chat Room creation was refused.  Please try again later.	Das Erstellen des Chat-Raums wurde abgelehnt. Bitte versuchen Sie es später erneut.
Sorry, AIM could not join room "%s"\r\nbecause it is full.  Please try again later.	AIM kann dem Raum "%s" nicht beitreten,\r\nda er zu viele Personen enthält. Bitte versuchen Sie es später erneut.
Sorry, AIM could not join room "%s".\r\nPlease try again later.	AIM kann dem Raum "%s" nicht beitreten.\r\nBitte versuchen Sie es später erneut.
Buddy Chat between %s and %s on %s	Chat zwischen %s und %s in %s
Away, Idle:	Abwesend, inaktiv:
Away	Abwesend
Away message / Personal Profile:	Abwesenheitsmitteilung / Persönliches Profil:
- Init	- Initialisieren
- Waiting	- Warte
- Creating Room	- Erstelle Chat-Raum
- Room Creation Failed	- Fehler beim Erstellen des Raums
- Joining Room	- Trete dem Raum bei
- Rejoining Room	- Trete dem Raum erneut bei
- Paused	- Angehalten
- Exited Room	- Raum verlassen
- Error	- Fehler
abcdefghIJKLMNOP	abcdefghIJKLMNOP
You have selected text that is part of an existing\nhyperlink.  If you want to edit that hyperlink, either\nselect the whole hyperlink or position the cursor\ninside the hyperlink with no selection.	Sie haben einen Text gewählt, der Teil eines Hyperlinks ist.\r\nWenn Sie diesen Hyperlink bearbeiten wollen, dann\nwählen Sie entweder den kompletten Link oder\nsetzen den Mauszeiger auf den Link ohne Auswahl.
Cannot send invitation to yourself	Sie können sich nicht selbst einladen.
There is nobody to invite	Es gibt niemanden zum Einladen.
The following people are already in the Chat room.  Invitations have not been sent to them.	Die folgenden Personen sind bereits in dem Chat-Raum. Es wurden keine Einladungen an sie geschickt.
<B>%s</B> has entered the room.	<B>%s</B> hat den Raum betreten.
<B>%s</B> has left the room.	<B>%s</B> hat den Raum verlassen.
Sorry, AIM could not join room "%s"\r\nbecause you have made too many requests.\r\nPlease try again later.	AIM kann dem Raum "%s"\r\nnicht beitreten, da Sie zu viele Anfragen gestellt haben.\r\nBitte versuchen Sie es später erneut.
Add To Buddy List	Zur Buddy-Liste hinzufügen
The people to whom you send this invitation may warn you in return.	Die Buddies, denen Sie diese Einladung schicken, können Sie verwarnen.
At %s %s (warning level %d%%) is inviting you to join the buddy chat room, "%s".	%s %s (Warnstufe%d%%) lädt Sie in den Chat-Raum "%s" ein.
%s writes:	%s schreibt:
Decline	Ablehnen
Decline Invitation	Einladung ablehnen
You've chosen to decline %s's invitation.	Sie haben die Einladung von %s abgelehnt.
This URL contains a space or one of the following\ncharacters that is not permitted in an URL:\n          < > [ ] { } \\ ^ `\nDo you want to keep the URL anyway?	Diese URL enthält ein Leerzeichen oder eines der folgenden\nZeichen, die in einer URL nicht gestattet sind:\n          < > [ ] { } \\ ^ `\nWollen Sie die URL trotzdem verwenden?
Administrator	Administrator
*Search the Web*	*Im Web suchen*
http://dynamic.aol.com/cgi/redir-complex?s=aimnfwebq=	http://netfind.germany.aol.com/cgi-bin/nph-pursuit?query=
Away Message	Abwesenheits-Mitteilung
http://www.aol.com/mynews/homeaim.adp	http://www.aol.de/aim/redirect/news.html
http://hometown.aol.com	http://www.aol.de/aim/redirect/treff.html
http://www.aol.com/netfind/im.html	http://www.aol.de/aim/redirect/netfind.html
<B>First Name:</B>  %s\r\n<B>Middle Name:</B>  %s\r\n<B>Last Name:</B>  %s\r\n<B>Maiden Name:</B>  %s\r\n<B>Nickname:</B>  %s\r\n<B>Street Address:</B>  %s\r\n<B>City:</B>  %s\r\n<B>State:</B>  %s\r\n<B>Country:</B>  %s\r\n<B>Zip:</B>  %s\r\n<B>Allow only AIM users to see this information:</B>  %s	<B>Vorname:</B>  %s\r\n<B>Zweiter Name:</B>  %s\r\n<B>Nachname:</B>  %s\r\n<B>Mädchenname:</B>  %s\r\n<B>Rufname:</B>  %s\r\n<B>Straße:</B>  %s\r\n<B>Ort:</B>  %s\r\n<B>Staat:</B>  %s\r\n<B>Land:</B>  %s\r\n<B>Postleitzahl:</B>  %s\r\n<B>Nur AIM Nutzer dürfen diese Informationene sehen:</B>  %s
%s\r\nThis file already exists.\r\n\r\nReplace existing file?	%s\r\n diese Datei existiert bereits.\r\n\r\nWollen Sie die Datei ersetzen?
The file was not written.	Die Datei wurde nicht gespeichert.
Chat Room Info	Chat-Raum Info
English	Englisch
French	Französisch
Spanish	Spanisch
Japanese	Japanisch
<B>%s</B> is not accepting chat invitations.	<B>%s</B> akzeptiert keine Chat-Einladungen.
Unconfirmed	Nicht bestätigt
Internet	Internet
Text	Textart
Font Name	Schriftartname
New Font Name...\tCtrl+W	Neuer Schriftartname...\tStrg+W
Default Font Name...\tCtrl+W	Standardmäßiger Schriftartname...\tStrg+W
You have made changes in the Preferences dialog\r\nbut have not saved them. Do you want to close the\r\ndialog anyway and lose your changes?	Sie haben die Einstellungen geändert,\r\naber noch nicht gespeichert. Möchten Sie den Dialog trotzdem schließen?
Saved Settings (*.blt)|*.blt|All Files (*.*)|*.*|	Einstellungen speichern (*.blt)|*.blt|Alle Dateien (*.*)|*.*|
The screen name is too short or contains invalid characters and cannot be added.	Der AIM-Name ist zu kurz oder enthält ungültige Zeichen und kann daher nicht hinzugefügt werden.
The screen name is an e-mail address.  Would you like to look up the screen name for that e-mail address?	Der AIM-Name ist eine eMail Adresse. Möchten Sie den AIM-Namen für diese eMail Adresse suchen?
User <B>%s</B> is temporarily not available.\r\nTry again in a few seconds.	Benutzer <B>%s</B> ist gerade nicht online.\r\nVersuchen Sie es in ein paar Sekunden erneut.
Couldn't import buddy '%s' because the name is invalid.	Buddy '%s' konnte nicht aufgenommen werden, da der Name ungültig ist.
Couldn't export buddy '%s' because the name is invalid.	Konnte Buddy '%s' nicht exportieren, da der Name ungültig ist.
Add a Group	Gruppe hinzufügen
Delete Item	Eintrag löschen
Find	Finden
", by	", durch
, is registered to handle this type of URL.\r\n\r\nDo you wish to run it?	, ist registriert für diesen URL-Typ.\r\n\r\nMöchten Sie ihn ausführen?
Do you want to remove '%s' from your Buddy List?\r\n\r\nYou cannot communicate with users not on your Buddy List.	Möchten Sie '%s' aus Ihrer Liste löschen?\r\n\r\nSie können mit keinem Buddy chatten, der nicht auf Ihrer Liste steht.
http://www.newaol.com/aim/73594/adc.html	http://www.newaol.com/aim/73594/adc.html
Unable to open the file '%s' for saving the buddy list.\r\nMake sure it is writeable before trying again.	Die Datei '%s' kann nicht geöffnet werden um die Buddy-Liste zu speichern.\r\nStellen Sie sicher, daß die Datei nicht schreibgeschützt ist.
You must choose an interest to search upon.	Sie müssen einen Suchbegriff eingeben.
Choose Default Application	Standard-Anwendung auswählen
Software\\RealNetworks\\RealPlayer\\CurrentVersion	Software\\RealNetworks\\RealPlayer\\CurrentVersion
Software\\RealNetworks\\RealPlayer\\%s\\Preferences\\MainApp	Software\\RealNetworks\\RealPlayer\\%s\\Preferences\\MainApp
Please provide a first or last name.	Bitte geben Sie Ihren Vor- und Nachnamen ein.
Cannot submit a blank search request.	Kann keine leere Suchanfrage bearbeiten.
You have too many Chat Rooms open to join another one.\r\nPlease close one of the current Chat Room windows\r\nand try again.	Sie haben zu viele Chat-Räume geöffnet, um einen weiteren öffnen zu können.\r\nBitte schließen Sie erst einen, bevor Sie einen neuen öffnen.
Try Again	Wiederholen
Buddy Chat Join Error	Fehler beim Betreten des Raums
A shortcut to the current window will be placed on your desktop.\r\nIs this ok?	Auf Ihrem Desktop wird ein Shortcut zum aktuellen Fenster plaziert.\r\nIst das OK?
Slower\tShift+F12	Langsamer\tUmsch+F12
Faster\tCtrl+F12	Schneller\tStrg+F12
Forward\tF11	Weiter\tF11
Forward A Lot\tCtrl+F11	Viel weiter\tCtrl+F11
Back\tShift+F11	Zurück\tUmsch+F11
Back A Lot\tCtrl+Shift+F11	Viel weiter zurück\tStrg+ShiftUmsch+F11
Stop Scroll\tF12	Rollen stoppen\tF12
Start Scroll\tF12	Rollen starten\tF12
Marquee	Laufschrift
Your directory entry contains the following character which cannot be used:   %c	Ihr Verzeichniseintrag enthält das folgende unzulässige Zeichen:   %c
Current Browser URL	Aktuelle Browser-URL
Current	Aktuell
<Beep>	<Beep>
Version:	Version:
Auto-login	Automatische Anmeldung
Copyright ©	Copyright ©
(Western),(Symbol),(Japanese),(Hangeul),(Simplified Chinese GB2312),(Traditional Chinese BIG5),(Johab),(Hebrew),(Arabic),(Greek),(Turkish),(Thai),(Central European),(Cyrillic),(Baltic)	(Western),(Symbol),(Japanisch),(Hangeul),(Einfaches Chinesisch GB2312),(Traditionelles Chinesisch BIG5),(Johab),(Hebräisch),(Arabisch),(Griechisch),(Türkisch),(Thailändisch),(Osteuropäisch),(Kyrillisch),(Baltisch)
Select	Auswählen
Reset	Zurück
Submit Query	Anfrage übergeben
Sorry, could not join Chat Room: %d is an invalid exchange number.	Konnte Chat-Raum nicht beitreten: %d ist eine ungültige Exchange-Nummer.
Sorry, could not join Chat Room: %d is an invalid instance number.	Konnte Chat-Raum nicht beitreten: %d ist eine ungültige Instanz-Nummer
Chat Room: %s (%d)	Chat-Raum: %s (%d)
Could not set Away state; try again	Konnte Abwesenheitszustand nicht einstellen. Bitte versuchen Sie es erneut.
1 hour	1 Stunde
12 hours	12 Stunden
2 hours	2 Stunden
30 minutes	30 Minuten
4 hours	4 Stunden
6 hours	6 Stunden
Show All Headlines	Alle Headlines anzeigen
Click to display the headlines in a separate window.	Klicken, um die Headlines in einem separaten Fenster anzuzeigen
%d messages received from %d people while being Away	Sie haben während Ihrer Abwesenheit %d Mitteilungen von %d Personen erhalten
messages %s %s	Mitteilungen %s %s
message  %s %s	Mitteilung  %s %s
AOL Instant Messenger (SM) - Signed Off	AOL Instant Messenger(SM) - Abgemeldet
AOL Instant Messenger (SM) - Away	AOL Instant Messenger(SM) - Abwesend
1 message received from 1 person while being Away	Sie haben während Ihrer Abwesenheit 1 Mitteilung von 1 Person erhalten.
%d messages received from 1 person while being Away	Sie haben während Ihrer Abwesenheit %d Mitteilungen von 1 Person erhalten.
This will automatically take place in %d seconds...	Dies findet automatisch in %d Sekunden statt...
<title>Playing Game</title>I am not available because I am playing a computer game that takes up the whole screen.	<title>Spiele</title>Ich bin gerade nicht verfügbar, weil ich ein Spiel spiele, das den gesamten Bildschirm einnimmt.
Less	Weniger
http://dynamic.aol.com/cgi/redir?http://www.aol.com/community/chat/chatnav/winchat.html	http://dynamic.aol.com/cgi/redir?http://www.aol.com/community/chat/chatnav/winchat.html
Send File...	Datei senden...
Get File...	Datei erhalten...
Close File Connection	Dateiverbindung unterbrechen
Send File to %s	Datei senden an %s
Receive File from %s	Datei empfangen von %s
Receive Files from %s	Dateien empfangen von %s
Get File from %s	Datei erhalten von %s
File Transfer Status - %s	Dateiübertragungsstatus - %s
Select Directory	Verzeichnis auswählen
Get File request from %s	Datei erhalten-Anfrage von %s
File to send:   (size %ld bytes)	Zu sendende Datei:   (Größe %ld Byte)
Buddy's file:   (size %ld bytes)	Datei des Buddys:   (Größe %ld Byte)
Buddy's files:  (total %ld bytes in %d files)	Dateien des Buddys:  (Gesamt %ld Byte in %d Dateien)
Local directory name	Lokaler Verzeichnisname
File to Send	Zu sendende Datei
File to Receive	Zu empfangende Datei
All Files	Alle Dateien
Choose virus checker	Antivirusprogramm wählen
Executable Files	Ausführbare Dateien
File Transfer Error	Dateiübertragungsfehler
There is no more room on the disk to write the file <I>%s</I>.	Auf der Platte ist nicht genügend Platz, um die Datei <I>%s</I> zu schreiben.
Could not write to the file: <I>%s</I>	Konnte nicht in Datei schreiben: <I>%s</I>
Could not write to the file:\n\n%s\n\nPlease make sure that the file is not\nread-only or open in another application.	Konnte nicht in Datei schreiben:\n\n%s\n\nStellen Sie sicher, daß die Datei nicht schreibgeschützt \noder von einer anderen Anwendung geöffnet ist.
The file:\n\n%s\n\ncould not be sent.  It either does not exist at the file path provided \nor is already open in another application. Please check the file path and \nmake sure the file is not in use in another application before resending.	Die Datei:\n\n%s\n\nkonnte nicht gesendet werden. Entweder sie existiert  nicht in dem angegebenen Pfad,\noder sie wurde von einer anderen Anwendung geöffnet. Prüfen Sie den Pfad, \nund stellen Sie sicher, daß die Datei nicht von einer anderen Anwendung verwendet wird, bevor Sie sie erneut senden.
The file: <I>%s</I> could not be sent.  It either does not exist at the file path provided or is already open in another application. Please check the file path and make sure the file is not in use in another application before resending.	Die Datei:\\n\\n%s\\n\\nkonnte nicht gesendet werden. Entweder sie existiert  nicht in dem angegebenen Pfad, oder sie ist in einer anderen Anwendung geöffnet. Prüfen Sie den Pfad, und stellen Sie sicher, daß die Datei nicht von einer anderen Anwendung verwendet wird, bevor Sie sie erneut senden.
A file with this name already exists.\nDo you want to resume an aborted transfer?\n(Click No to start a new transfer.)	Eine Datei dieses Namens existiert bereits.\nWollen Sie die unterbrochene Übertragung wiederaufnehmen?\n(Klicken Sie auf "Nein", um eine neue Übertragung zu starten.)
A file with this name\n%s\nalready exists; do you want to replace it?	Eine Datei dieses Namens\n%s\nexistiert bereits. Wollen Sie sie ersetzen?
About %d minutes remaining  %dKB/sec	Noch ca. %d Minuten  %dKB/s
About 1 minute remaining  %dKB/sec	Noch ca. 1 Minute  %dKB/s
About %d seconds remaining  %dKB/sec	Noch ca. %d Sekunden  %dKB/s
The transfer is paused	Die Übertragung wurde angehalten.
You have signed off from AIM during file transfer.\nYou do not need to be signed onto AIM to continue.\nIf you wish to cancel all current file transfers,\nplease hit the Cancel button below. If you cancel now,\nyou can resume the transfer(s) at another time.	Sie haben sich während der Dateiübertragung vom AIM abgemeldet.\nUm fortzufahren, müssen Sie sich wieder anmelden.\nWenn Sie alle aktuellen Dateiübertragungen abbrechen wollen,\nklicken Sie auf "Abbrechen". Sie können in diesem Fall die Übertragung später wiederaufnehmen.
The virus checker did not complete successfully when checking the file %s	Das Virusprüfung wurde bei der Datei %s nicht erfolgreich abgeschlossen.
The virus checker did not complete successfully when checking the directory %s	Das Virusprüfung wurde bei dem Verzeichnis %s nicht erfolgreich abgeschlossen
(%ld bytes)	(%ld Byte)
%ldK of %ldK	%ldK von %ldK
%d%%	%d%%
%d of %d files	%d von %d Dateien
http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/filetransfer/antivirus.html	http://dynamic.aol.com/cgi/redir?http://www.aol.com/aim/filetransfer/antivirus.html
<FONT color=#ff0000><B>WARNING!</B></FONT>	<FONT color=#ff0000><B>WARNUNG!</B></FONT>
<FONT color=#000000 SIZE=2>  You have received a file transfer request!  If you don't know who is sending you this file, be cautious; it could contain a computer virus.  Computer viruses can destroy your work and even damage your computer.	<FONT color=#000000 SIZE=2>  Sie haben eine Dateiübertragungsanfrage erhalten! Seien Sie vorsichtig, wenn Sie nicht wissen, wer Ihnen diese Datei sendet; sie könnte mit einem Computervirus infiziert sein. Computerviren können Ihre Arbeit zerstören und Ihren Computer beschädigen.
<FONT color=#000000 SIZE=2>  You are about to retrieve a file.  Be cautious; any files you retrieve may contain a computer virus.  Computer viruses can destroy your work and even damage your computer.	<FONT color=#000000 SIZE=2>  Sie sind im Begriff, eine Datei abzurufen. Die abgerufenen Dateien könnten mit einem Computervirus infiziert sein. Computerviren können Ihre Arbeit zerstören und Ihren Computer beschädigen.
<BR><FONT SIZE=2><B>AOL Instant Messenger (SM) Anti-virus Center:	<BR><FONT SIZE=2><B>AOL Instant Messenger(SM) Antiviruszentrum:
You are currently in the middle of a file transfer operation which will be canceled if you close the IM window. \r\nAre you sure you want to close the IM window?	Sie befinden sich inmitten einer Dateiübertragung, die abgebrochen wird, wenn Sie das Telegramm-Fenster schließen. \r\nSind Sie sicher, daß Sie das Telegramm-Fenster schließen wollen?
%%s wants to get list of files	%%s möchte eine Liste von Dateien erhalten.
%%s wants to get file <I>%s</I>	%%s möchte die Datei <I>%s</I> erhalten
%%s wants to send file <I>%s</I>	%%s möchte die Datei <I>%s</I> senden
%s cancels request; the file will not be sent	%s bricht Anfrage ab; die Datei wird nicht gesendet.
%s stops transfer after the current file is received	%s stoppt Übertragung nach Empfang der aktuellen Datei.
%s does not have any files available for download	%s hat keine Dateien zum Herunterladen verfügbar.
%s's file library does not have the requested file	Dateibibliothek von %s enthält nicht die angeforderte Datei.
%s is not accepting file transfer requests	%s akzeptiert keine Dateiübertragungsanfragen.
%s declined request; the file will not be sent	%s hat Anfrage abgelehnt. Die Datei wird nicht gesendet.
%s canceled request; the file will not be sent	%s hat Anfrage abgebrochen Die Datei wird nicht gesendet.
%s is online but away; the file will not be sent	%s ist online aber abwesend. Die Datei wird nicht gesendet.
%s is online but away and cannot approve your request	%s ist online aber abwesend und kann Ihre Anfrage nicht genehmigen.
Connection problem with %s; the file will not be sent	Problem bei der Verbindung mit %s. Die Datei wird nicht gesendet.
%s aborted the file transfer because there was no more disk space	%s hat die Dateiübertragung abgebrochen, weil nicht genügend Plattenspeicher frei war.
%s's software could not interpret your request	Die Software von %s konnte Ihre Anfrage nicht interpretieren.
%s's software does not support file transfer	Die Software von %s unterstützt keine Dateiübertragungen.
%s's software does not support GetFile requests	Die Software von %s unterstützt keine Datei erhalten-Anfragen.
%s sent an unrecognized file transfer request	%s hat eine nicht erkannte Dateiübertragungsanfrage gesendet.
%s has not responded to your request; the file will not be sent	%s hat nicht auf Ihre Anfrage geantwortet. Die Datei wird nicht gesendet.
The transfer request has timed out; the file will not be sent	Die Übertragungsanfrage ist abgelaufen. Die Datei wird nicht gesendet.
%%s received <I>%s</I>	%%s hat <I>%s</I> empfangen.
%%s already had the same file <I>%s</I>	%%s hat bereits die gleiche Datei <I>%s</I> empfangen.
%%s received <I>%s</I> but it doesn't agree with original	%%s hat <I>%s</I> empfangen; die Datei stimmt jedoch nicht mit dem Original überein.
%%s already had a different file <I>%s</I>	%%s hatte bereits eine andere Datei <I>%s</I>
%%s stopped transfer prematurely <I>%s</I>	%%s brach die Übertragung vorzeitig ab <I>%s</I>
Waiting for buddy to accept the file transfer...	Warte, daß Buddy die Dateiübertragung annimmt...
Waiting to connect to buddy...	Warte, daß Verbindung zum Buddy hergestellt wird...
Trying to connect to buddy...	Versuche, Verbindung zum Buddy herzustellen...
Waiting for virus checker to finish...	Warte, daß Virusprüfung abgeschlossen wird...
This is the list of files you can get from your buddy.  Select \nthe file you want and click the 'Get' button.  Hold down the \nCtrl key while using the mouse button to select several files.	Dies ist die Liste der Dateien, die Sie von Ihrem Buddy erhalten können. Wählen Sie die \ngewünschte Datei, und klicken Sie auf "Erhalten". Halten Sie die Strg-Taste gedrückt, während Sie mit der Maus mehrere Dateien auswählen.
%s\r\nwants to get files from your disk directory:\r\n%s\r\n\r\nDo you approve?	%s\r\nmöchte Dateien von Ihrem Plattenverzeichnis erhalten:\r\n%s\r\n\r\nGenehmigen Sie dies?
You already have a file transfer occuring with this buddy.\r\nYou must wait until it is finished before starting another.	Es läuft bereits eine Dateiübertragung mit diesem Buddy.\r\nSie müssen warten, bis diese abgeschlossen ist, bevor Sie eine neue starten.
Content loading...	Inhalt wird geladen...
Error loading content.	Fehler beim Laden des Inhalts
Start Web\nsearch	Websuche starten
Connect to Send IM Image...	Verbindung mit IM-Grafiken senden herstellen...
- Last Updated:	- Letzte Aktualisierung:
http://headlines.aim.aol.com/aim/headlines.html	http://headlines.aim.aol.com/aim/headlines.html
No data available . . .	Keine Datei verfügbar . . .
Please select a screen name first.	Bitte wählen Sie zuerst einen AIM-Namen aus.
CPPHGFGDEGDB	CPPHGFGDEGDB
US United States\r\nAF Afghanistan\r\nAL Albania\r\nDZ Algeria\r\nAS American Samoa\r\nAD Andorra\r\nAO Angola\r\nAI Anguilla\r\nAQ Antarctica\r\nAG Antigua And Barbuda\r\nAR Argentina\r\nAM Armenia\r\nAW Aruba\r\nAU Australia\r\nAT Austria\r\nAZ Azerbaijan\r\nBS Bahamas\r\nBH Bahrain\r\nBD Bangladesh\r\nBB Barbados\r\nBY Belarus\r\nBE Belgium\r\nBZ Belize\r\nBJ Benin\r\nBM Bermuda\r\nBT Bhutan\r\nBO Bolivia\r\nBA Bosnia And Herzegowina\r\nBW Botswana\r\nBV Bouvet Island\r\nBR Brazil\r\nIO British Indian Ocean Ter.\r\nBN Brunei Darussalam\r\nBG Bulgaria\r\nBF Burkina Faso\r\nBI Burundi\r\nKH Cambodia\r\nCM Cameroon\r\nCA Canada\r\nCV Cape Verde\r\nKY Cayman Islands\r\nCF Central African Republic\r\nTD Chad\r\nCL Chile\r\nCN China\r\nCX Christmas Island\r\nCC Cocos (Keeling) Islands\r\nCO Colombia\r\nKM Comoros\r\nCG Congo\r\nCK Cook Islands\r\nCR Costa Rica\r\nCI Cote D'Ivoire\r\nHR Croatia\r\nCU Cuba\r\nCY Cyprus\r\nCZ Czech Republic\r\nDK Denmark\r\nDJ Djibouti\r\nDM Dominica\r\nDO Dominican Republic\r\nTP East Timor\r\nEC Ecuador\r\nEG Egypt\r\nSV El Salvador\r\nGQ Equatorial Guinea\r\nER Eritrea\r\nEE Estonia\r\nET Ethiopia	DE Deutschland\r\nEG Ägypten\r\nGQ Äquatorialguinea\r\nET Äthiopien\r\nAF Afghanistan\r\nAL Albanien\r\nDZ Algerien\r\nAS Amerikanisch-Samoa\r\nAD Andorra\r\nAO Angola\r\nAI Anguilla\r\nAQ Antarktis\r\nAG Antigua und Barbuda\r\nAR Argentinien\r\nAM Armenien\r\nAW Aruba\r\nAZ Aserbaidschan\r\nAU Australien\r\nBS Bahamas\r\nBH Bahrain\r\nBD Bangladesch\r\nBB Barbados\r\nBE Belgien\r\nBZ Belize\r\nBJ Benin\r\nBM Bermuda\r\nBT Bhutan\r\nBO Bolivien\r\nBA Bosnien-Herzegowina\r\nBW Botsuana\r\nBV Bouvetinsel\r\nBR Brasilien\r\nVG Britische Jungferninseln\r\nIO Britisches Territorium im Indischen Ozean\r\nBN Brunei Darussalam\r\nBG Bulgarien\r\nBF Burkina Faso\r\nBI Burundi\r\nCL Chile\r\nCN China\r\nCK Cookinseln\r\nCR Costa Rica\r\nDK Dänemark\r\nDM Dominica\r\nDO Dominikanische Republik\r\nDJ Dschibuti\r\nEC Ecuador\r\nCI Elfenbeinküste\r\nSV El Salvador\r\nER Eritrea\r\nEE Estland\r\n
FK Falkland Islands\r\nFO Faroe Islands\r\nFJ Fiji\r\nFI Finland\r\nFR France\r\nFX France, Metropolitan\r\nGF French Guiana\r\nPF French Polynesia\r\nTF French Southern Ter.\r\nGA Gabon\r\nGM Gambia\r\nGE Georgia\r\nDE Germany\r\nGH Ghana\r\nGI Gibraltar\r\nGR Greece\r\nGL Greenland\r\nGD Grenada\r\nGP Guadeloupe\r\nGU Guam\r\nGT Guatemala\r\nGN Guinea\r\nGW Guinea-Bissau\r\nGY Guyana\r\nHT Haiti\r\nHM Heard And Mcdonald Islands\r\nHN Honduras\r\nHK Hong Kong\r\nHU Hungary\r\nIS Iceland\r\nIN India\r\nID Indonesia\r\nIR Iran\r\nIQ Iraq\r\nIE Ireland\r\nIL Israel\r\nIT Italy\r\nJM Jamaica\r\nJP Japan\r\nJO Jordan\r\nKZ Kazakhstan\r\nKE Kenya\r\nKI Kiribati\r\nKP Korea, Democratic People's Republic Of\r\nKR Korea, Republic Of\r\nKW Kuwait\r\nKG Kyrgyzstan\r\nLA Lao\r\nLV Latvia\r\nLB Lebanon\r\nLS Lesotho\r\nLR Liberia\r\nLY Libyan Arab Jamahiriya\r\nLI Liechtenstein\r\nLT Lithuania\r\nLU Luxembourg\r\nMO Macau\r\nMK Macedonia\r\nMG Madagascar\r\nMW Malawi\r\nMY Malaysia\r\nMV Maldives\r\nML Mali\r\nMT Malta\r\nMH Marshall Islands\r\nMQ Martinique\r\nMR Mauritania\r\nMU Mauritius\r\nYT Mayotte\r\nMX Mexico\r\nFM Micronesia, Federated States\r\nMD Moldova\r\nMC Monaco\r\nMN Mongolia\r\nMS Montserrat\r\nMA Morocco\r\nMZ Mozambique\r\nMM Myanmar	FK Falklandinseln\r\nFO Faroe-Inseln\r\nFJ Fidschi\r\nFI Finnland\r\nFR Frankreich\r\nFX Frankreich, Metropolitan\r\nGF Französisch Guiana\r\nPF Französisch Polynesien\r\nTF Südliche Französische Territorien\r\nGA Gabon\r\nGM Gambia\r\nGE Georgien\r\nDE Deutschland\r\nGH Ghana\r\nGI Gibraltar\r\nGR Griechenland\r\nGL Grönland\r\nGD Grenada\r\nGP Guadeloupe\r\nGU Guam\r\nGT Guatemala\r\nGN Guinea\r\nGW Guinea-Bissau\r\nGY Guyana\r\nHT Haiti\r\nHM Heard und Mcdonald-Inseln\r\nHN Honduras\r\nHK Hongkong\r\nHU Ungarn\r\nIS s\nIN Indien\r\nID Indonesien\r\nIR Iran\r\nIQ Irak\r\nIE Irland\r\nIL Israel\r\nIT Italien\r\nJM Jamaika\r\nJP Japan\r\nJO Jordanien\r\nKZ Kasachstan\r\nKE Kenien\r\nKI Kiribati\r\nKP Korea, Demokratische Volksrepublik\r\nKR Korea, Republik\r\nKW Kuwait\r\nKG Kirgisien\r\nLA Laos\r\nLV Lettland\r\nLB Libanon\r\nLS Lesotho\r\nLR Liberia\r\nLY Libyen\r\nLI Liechtenstein\r\nLT Litauen\r\nLU Luxemburg\r\nMO Macau\r\nMK Mazedonien\r\nMG Madagaskar\r\nMW Malawi\r\nMY Malaysia\r\nMV Malediven\r\nML Mali\r\nMT Malta\r\nMH Marshall-Inseln\r\nMQ Martinique\r\nMR Mauritanien\r\nMU Mauritius\r\nYT Mayotte\r\nMX Mexiko\r\nFM Micronesien\r\nMD Moldawien\r\nMC Monaco\r\nMN Mongolei\r\nMS Montserrat\r\nMA Marokk\r\nMZ Mosambik\r\nMM Myanmar
